М(с)ЦА	сущ	jo	род	ед	м	
IЮНR	сущ	jo	род	ед	м	
ДНЬ#	сущ	en	им	ед	м	
А#	1					
ЖИТIЕ	сущ	jo	им	ед	ср	
И	союз					
ПОДВИЗИ	сущ	о	им	мн	м	*
И	союз					
W(Т)ЧАСТИ&	нар					
ЧЮДЕ(с)	сущ	es	род	мн	ср	
ИСПОВ+ДА(н)Е	сущ	jo	им	ед	ср	+и
ПРП(Д)БНА(г)	прил	тв	род	ед	м	
W(ц)	сущ	jo	род	ед	м	
НШЕ(г)	мест	м	род	ед	м	
*ДIОНIСIА	сущ	jo	род	ед	м	
*ГЛD(ШИ)ЦКА(г);&	прил	тв	род	ед	м	
СЕ	част					
БО	част					
НН+#	нар					
О	пред					
СЕ(М)	мест	м	мест	ед	м	
БЛЖЕН+(М)#	прил	тв	мест	ед	м	
СВ+ТЛЫИ	прил	тв	им	ед	м	
UЧТЛЬ#,&	сущ	jo	им	ед	м	
СЛАВНЫИ	прил	тв	им	ед	м	
*ПАВЕ(Л)	сущ	о	им	ед	м	
ВЪПIЕ(Т).	гл	изъяв	н/б	3	ед	3
ИХЪ(Ж)	мест	м	род	мн	м	
ЖИ(ТИ)Е	сущ	jo	им	ед	ср	
НА	пред					
НБСЕ(Х)#	сущ	es	мест	мн	ср	
Е(с).&	гл	изъяв	н/б	3	ед	5
НАСЛАЖ(Д)АА(с)	прич/в	jo	наст	им	ед	м
ЧЮВСТВО(М)	сущ	о	тв	ед	ср	
БЕЗВЕЩНЫ(М)	прил	тв	тв	ед	ср	
НЕНА&СЫТНА(г).	прил	тв	род	ед	ср	
И	союз					
НЕВIДИМА(г)	прил	тв	род	ед	ср	
ДОБРОТОЮ	сущ	а	тв	ед	ж	
ВИД+(В).&	прич	jo	прош	им	ед	м
АКЫ	союз					
РАЗGМНА(г),	прил	тв	род	ед	ср	
РАЗGМО(М)	сущ	о	тв	ед	м	
И	союз					
UМО(М)	сущ	о	тв	ед	м	
ТОЧIЮ.	нар					
РА(Д)У&АСR	прич/в	jo	наст	им	ед	м
ДОСТОИНАR	прил	тв	вин	мн	ср	
ПОТW(В)	сущ	о/u	род	мн	м	
ПРIЕ(М),	прич	jo	прош	им	ед	м
W(Т)ДАНIА	сущ	jo	вин	мн	ср	
ТРDДW(В),&	сущ	о/u	род	мн	м	
Б(ЕЗ)ТРDДНDЮ	прил	тв	вин	ед	ж	
ПОЧЕ(с).	сущ	i	вин	ед	ж	+т
Я(Ж)	союз					
