М(с)ЦА	сущ	jo	род	ед	м	
СЕМТRВРIR	сущ	jo	род	ед	м	
ВЪ	пред					
Л#	30					
ДНЬ#.	сущ	en	вин	ед	м	
ЖЫТIЕ	сущ	jo	им	ед	ср	
И	союз					
ПО&ДВИЗИ	сущ	о	им	мн	м	*
ПРП(Д)БНАГО	прил	тв	род	ед	м	
ОЦА#	сущ	jo	род	ед	м	
НШГО#	мест	м	род	ед	м	
*ГРИГОРИR	сущ	jo	род	ед	м	
ЧЮ(ДО)&ТВОРЦА	сущ	jo	род	ед	м	
IГUМЕНА	сущ	о	род	ед	м	
В	пред					
*ЛОПОТОВИ	сущ	о/jo	мест	ед	ср	
*ПЕЛШЕ(М)СКА&ГО.	прил	тв	род	ед	м	
БЛГ(с)ВИ	гл	повел	2	ед	4	
W(ч).	сущ	jo/o	зв	ед	м	*
АМIНЬ&	нар    					
ДОБРО	прил	о	им	ед	ср	
UБО	част					
И	союз					
ПОЛ+SНО	прил	о	им	ед	ср	
S+ЛО,	нар					
ИЖЕ	союз					
БЖ(с)ТВЕНЫ(Х)&	прил	тв	род	мн	м	
МUЖЪ	сущ	jo	род	мн	м	
ЖИТИR	сущ	jo	вин	мн	ср	
ПОЧИТАТИ	инф					
И	союз					
ПРОПОВ+ДАТИ&	инф					
ВЕЛ+ГЛ(с)НО.	нар					
НН+#	нар					
ЯКОЖЕ	союз					
Т+МЪ	мест	тв	дат	мн	м	
НЕ	част					
W(Т)	пред					
НАСЪ	мест	личн	1	род	мн	
ПО&ХВАЛЫ	сущ	а	род	ед	ж	
ТРЕБUЮЩИ(М),	прич	м	наст	дат	мн	м
НО	союз					
ЯКО	союз					
ИНЫ(Х)	прил	тв	вин/род	мн	м	
ВОЗ(Д)ВИГНU&ТИ	инф					
ХОТЯЩЕ	прич	jo/en	наст	им	мн	м
К	пред					
ПРЕИЗЯЩНU	прил	о	дат	ед	м	
ПОДВИГU	сущ	о	дат	ед	м	
И	союз					
ЛЮБВЕ&	сущ	uu/а	дат	ед	ж	
ЕЖЕ	союз					
К	пред					
БГU#.	сущ	о	дат	ед	м	
ПОНЕЖЕ	союз					
НАВЫЧЕ	гл	изъяв	аор пр	3	ед	
БЖ(с)ТВЕНUЮ	прил	тв	вин	ед	ж	
БЛГ(Д)ТЬ&	сущ	i	вин	ед	ж	
ИЖЕ	союз					
РАБОТАЮЩИ(Х)	прич	м	наст	род	мн	м
ТОМU	мест	тв	дат	ед	м	
СЪ	пред					
СТРАХОМЪ,	сущ	о	тв	ед	м	
И	союз					
ДРЪ&ЗНОВЕНИЕМЪ	сущ	jo	тв	ед	ср	+ъ
И	союз					
ЛЮБОВИЮ	сущ	uu	тв	ед	ж	
ПРОСЛАВЛЯТИ.	инф					
ИЖЕ&	мест	м	им	мн	м	
ЗД+	нар					
КРЫЮЩЕСR	прич/в	jo/en	наст	им	мн	м
РАДИ	посл					
ДОБРОД+ТЕЛИ.	сущ	i	род	ед	ж	
ЗАЕЖЕ&	союз					
UТАИТИСЯ	инф/в					
W(Т)	пред					
ЧЛКЪ#	сущ	о	род	мн	м	
МНЯЩЕ.	прич	jo/en	наст	им	мн	м
БГЪ#	сущ	о	им	ед	м	
СЛАВНЫ(И)	прил	тв	им	ед	м	
И&	мест	м	вин/им	мн	м	
ЯВЛЕНЫ(И)	прич	тв	прош	вин/им	мн	м
ТВОРИТЪ.	гл	изъяв	н/б	3	ед	4
НЕ	част					
ТОКМО	нар					
В	пред					
ЖИВОТЕ,&	сущ	о	мест	ед	м	
НО	союз					
И	союз					
ПО	пред					
ПРЕСТАВЛЕНИЮ.	сущ	jo	дат	ед	ср	
ЗАЕЖЕ	союз					
ТАКОВИ&	мест	тв	им	мн	м	
МИРА	сущ	о	род	ед	м	
СЕГО	мест	м	род	ед	м	
ВСR	мест	р/скл	вин	мн	ср	
ПРЕWБИДЕША,	гл	изъяв	аор гл	3	мн	
WВIИ	мест	тв	им	мн	м	
МАЛАR,&	прил	тв	вин	мн	ср	
ИНIИ	мест	тв	им	мн	м	
ЖЕ	част					
ВЕЛИКАЯ.	прил	тв	вин	мн	ср	
НО	союз					
WБОИ(Х)	мест	тв	род	мн	м	
ПРОИЗВОЛЕНИЕ&	сущ	jo	им	ед	ср	
БЫВШЕ,	прич	jo	прош	им/вин	ед	ср
ПО	пред					
РЕЧЕННОМU	прич	тв	прош	дат	ед	ср
ПО	пред					
ВСR	мест	р/скл	вин	мн	м	
ДНИ#	сущ	en	вин	мн	м	
СКОРБЯЩЕ,&	прич	jo/en	наст	им	мн	м
И	союз					
ЗЛОСТРАЖUЩИ.	прич	jo	наст	им	мн	м
В	пред					
ПUСТЫНЯХЪ	сущ	ja	мест	мн	ж	
СКИТАЮZ -301 ЩЕСR.	прич/в	jo/en	наст	им	мн	м
WВОГДА	нар					
ПИЩА	сущ	ja	род	ед	ж	
ЛИШАЕМИ.	прич	о	наст	им	мн	м
ИНОГДА	нар					
(Ж)	част					
И	союз					
WД+&ЖДА.	сущ	ja	род	ед	ж	
МНОЖАЕ	нар					
ЖЕ	част					
W(Т)	пред					
БЕСО(в)	сущ	о/u	род	мн	м	
БРАНИ	сущ	i	вин	мн	ж	
ПРИЕМЛЮЩЕ.	прич	jo/en	наст	им	мн	м
НЕ&	част					
БО	союз					
ТЕМЪ	мест	тв	дат	мн	м	
БРАНЬ	сущ	i	им	ед	ж	
БЯШЕ	гл	изъяв	имп	3	ед	
КЪ	пред					
КРОВИ	сущ	uu	дат	ед	ж	
И	союз					
ПЛОТИ.	сущ	i	дат	ед	ж	
НО	союз					
К	пред					
ДD&ХОВОМЪ	сущ	о	дат	мн	м	
SЛОБНЫ(М).	прил	тв	дат	мн	м	
ПО(Д)НБ(с)НЫМЪ	прил	тв	дат	мн	м	
НО	союз					
ПАЧЕ	нар					
ЖЕ	част					
И	союз					
К	пред					
СА&МОМU	мест	тв	дат	ед	м	
ИЖЕ	мест	м	дат/им	ед	м	
ИСПЕРВА	нар					
ХВАЛЯЩЕМUСR	прич/в	м	наст	дат	ед	м
ПОТР+&БИТИ	инф					
ЗЕМЛЮ	сущ	ja	вин	ед	ж	
И	союз					
МОРЕ.	сущ	jo	вин	ед	ср	
НО	союз					
WБАЧЕ	част					
НН+#	нар					
W	пред					
ТАКО&ВЫХЪ	мест	тв	род	мн	м	
БЖ(С)ТВЕНЫ(Х)	прил	тв	род	мн	м	
МUЖЕИ.	сущ	jo	род	мн	м	
НЕ	част					
ТОКМО	нар					
ПО(Д)СМИ&ЯНЪ	прич	o	прош	им	ед	м
БЫВАЕТЪ.	гл	изъяв	н/б	3	ед	3
НО	союз					
И	союз					
ПОПИРАЕМЪ.	прич	o	наст	им	ед	м
ЯКОЖЕ	союз					
РЕ(ч)&НО	прич	о	прош	им	ед	ср
ЕСТЬ.	гл	изъяв	н/б	3	ед	5
СЕ	част					
ДАЮ	гл	изъяв	н/б	1	ед	3
ВАМЪ	мест	личн	2	дат	мн	
ВЛАСТЬ	сущ	i	вин	ед	ж	
НАСТUПАТИ&	инф					
НА	пред					
SМИR	сущ	jo	вин	мн	м	
И	союз					
СКОРПИR	сущ	jo	вин	мн	м	
И	союз					
НА	пред					
ВСЮ	мест	р/скл	вин	ед	ж	
СИЛU	сущ	а	вин	ед	ж	
ВРАЖИЮ&	прил	м	вин	ед	ж	
НИЧИСО(Ж)	мест	м	им/род	ед	ср	
ВА(с)	мест	личн	2	вин/род	мн	
НЕ	част					
ВРЕДИТЪ.	гл	изъяв	н/б	3	ед	4
И	союз					
ЕЖЕ	союз					
НИ	част					
САМАЯ	мест	тв	вин	мн	ср	
ТЕ&ЛЕСА	сущ	es	вин	мн	ср	
СВОЯ.	мест	м	вин	мн	ср	
ИЛИ	союз					
ДШU#	сущ	ja	вин	ед	ж	
СВОЮ	мест	м	вин	ед	ж	
ПОЩАДИВШЕ	прич	jo/en	прош	им	мн	м
РА(ДИ)&	посл					
*Х(с)ВЫ	прил	a	род	ед	ж	
ЛЮБВЕ.	сущ	uu	род	ед	ж	
ЧТО	мест	м	им	ед	ср	
БО	союз					
ТЕХЪ	мест	тв	вин/род	мн	м	
ВОЗМОЖЕ	гл	изъяв	аор пр	3	ед	
ВРЕДИТИ,&	инф					
ЯКОЖЕ	союз					
САМЪ	мест	тв	им	ед	м	
*ХС#	сущ	o	им	ед	м	
ГЛТЬ#.	гл	изъяв	н/б	3	ед	3
ИЖЕ	мест	м	им	ед	м	
ПОГUБИТЪ	гл	изъяв	н/б	3	ед	4
ДШD#&	сущ	ja	вин	ед	ж	
СВОЮ	мест	м	вин	ед	ж	
МЕНЕ	мест	личн	1	род	ед	
РАДИ	посл					
I	союз					
ЕVА(г)ЛIЯ	сущ	jo	род	ед	ср	
ТОИ	мест	тв	им	ед	м	
СПСТЪ#	гл	изъяв	н/б	3	ед	1
Ю.	мест	м	вин	ед	ж	
W(Т)СЮ&ДU	нар					
ЖЕ	част					
ИЖЕ	мест	м	им	ед	м	
ВОИСТИННU	нар					
НН+#	нар					
ПОХВАЛЯЕМЫ(И).&	прич	тв	наст	им	ед	м
БЛЖННЫ(И)#	прил	тв	им	ед	м	
*ГРИГО(Р)Е	сущ	jo	им	ед	м	+и
РЕЧЕТСR	гл/в	изъяв	н/б	3	ед	1
О	пред					
РОЖЕНIИ	сущ	jo	мест	ед	ср	
СТГО#.&	прил	тв	род	ед	м	
W(Т)	пред					
СЛАВНАГО	прил	тв	род	ед	м	
ГРАДА	сущ	о	род	ед	м	
*ГАЛИЧА.	сущ	jo	род	ед	м	
W(Т)	пред					
БЛГОЧ(с)ТВАГО#	прил	тв	род	ед	м	
КО&РЕНЕ.	сущ	en	род	ед	м	
ИЗРАСТЕ	гл	изъяв	аор пр	3	ед	
ДОБРОПЛО(Д)НАЯ	прил	тв	им	ед	ж	
РОЗГА.	сущ	а	им	ед	ж	
W(Т)	пред					
СЛА&ВНЫ(Х)	прил	тв	род	мн	м	
РОДИТЕЛЬ	сущ	jo	род	мн	м	
БОЛЯРСКА	прил	о	род	ед	м	
РОДU.	сущ	о/u	род	ед	м	
ИЖЕ	мест	м	им	мн	м	
МНОГИ(М)	мест	тв	тв	ед	ср	
Z 302						
БГАТСТВО(М)#	сущ	o	тв	ед	ср	
И	союз					
СЛАВОЮ	сущ	а	тв	ед	ж	
ЖИВUЩИМЪ.	прич	м	наст	дат	мн	м
И	союз					
W(Т)	пред					
КНЗЬ#&	сущ	jo	род	мн	м	
ПОЧТЕНIИ.	прич	тв	прош	им	мн	м
СЪ(И)	мест	м	им	ед	м	
СТЫ(И)#	прил	тв	им	ед	м	
ЧЮДНЫ(И)	прил	тв	им	ед	м	
W(Т)РОКЪ	сущ	о	им	ед	м	
*ГРИГОРIЕ	сущ	jo	им	ед	м	
РО&ДИСR.	гл/в	изъяв	аор гл	3	ед	
W(Т)	пред					
НИХЪ(Ж)	мест	м	род	мн	м	
И	союз					
ВОСПИТАНЪ	прич	тв	прош	им	ед	м
БЫ(с)	гл	изъяв	аор гл	3	ед	
НЕГИБЛЮЩИ(М)&	прич	м	наст	тв	ед	ср
МЛЕКОМЪ	сущ	o	тв	ед	ср	
W(Т)	пред					
БЖТВЕНАГО#	прил	тв	род	ед	ср	
ПИСАНИR.	сущ	jo	род	ед	ср	
ПОДРАЖА&ТЕЛЬ	сущ	jo	им	ед	м	
СЫ(И)	прич	м	наст	им	ед	м
СМИРЕНОЮ	прил	тв	тв	ед	ж	
МUДРОСТИЮ	сущ	i	тв	ед	ж	
СТХЪ#	прил	тв	род	мн	м	
W(Т)ЦЬ#,&	сущ	jo	род	мн	м	
И	союз					
НЕ	част					
ВНИМАШЕ	гл	изъяв	имп	3	ед	
ПUСТОШНЫ(Х).	прил	тв	род	мн	ср	
НИЖЕ	част					
Д+ТИ&НЫХЪ	прил	тв	род	мн	ж	
ИГРЪ	сущ	a	род	мн	ж	
ТВОРЯШЕ.	гл	изъяв	имп	3	ед	
НИ	част					
W(Т)	пред					
СЛUГЪ	сущ	а	род	мн	м	
ПОЧЕСТИ&	сущ	i	род	ед	ж	
ВЗЫСКАЯ	прич	м	наст	им	ед	м
НИ	част					
ВЕЛИКА	прил	о	род	ед	м	
САНА	сущ	о	род	ед	м	
ТРЕБОВАШЕ.	гл	изъяв	имп	3	ед	
НО	союз					
