М(с)ЦА	сущ	jo	род	ед	м	
ИЮНR,	сущ	jo	род	ед	м	
ВЪ	пред					
F#	9					
(ДНЬ).	сущ	en	вин	ед	м	
ЖИТIЕ	сущ	jo	им	ед	ср	
И	союз					
ПО&ДВИЗИ	сущ	o	им	мн	м	*
И	союз					
W(Т)ЧАСТИ	нар					
ЧЮДЕ(с),	сущ	es	род	мн	ср	
ИСПОВ+&ДАНIЕ	сущ	jo	им	ед	ср	
ПРП(Д)БНАГО	прил	тв	род	ед	м	
W(Т)ЦА#	сущ	jo	род	ед	м	
НАШЕГО.&	мест	м	род	ед	м	
*АЛЕКСАНДРА	сущ	o	род	ед	м	
*КDШСКАГО	прил	тв	род	ед	м	
ЧЮДОТВО&РЦА	сущ	jo	род	ед	м	
БЛГОСЛОВИ#,	гл	повел	2	ед	4	
W(Т)ЧЕ#;&	сущ	jo/o	зв	ед	м	*
СЕИ	мест	м	им	ед	м	
UБО	част					
БЛЖЕН(Н)ЫИ#,	прил	тв	им	ед	м	
О	пред					
НЕМЪ(ЖЕ)	мест	м	мест	ед	м	
БГОГЛА(с)НЫ(И)#&	прил	тв	им	ед	м	
СВ+ТЛЫИ	прил	тв	им	ед	м	
UЧИТЕЛЬ	сущ	jo	им	ед	м	
СЛАВНЫИ&	прил	тв	им	ед	м	
*ПАВЕЛЪ	сущ	o	им	ед	м	
ВОПИЕТЪ,	гл	изъяв	н/б	3	ед	3
ИХЖЕ	мест	м	род	мн	м	
ЖИ&ТIЕ	сущ	jo	им	ед	ср	
НА	пред					
НБС+ХЪ#	сущ	es	мест	мн	ср	
ЕСТЬ.	гл	изъяв	н/б	3	ед	5
НАСЛАЖ&ДАRСR	прич/в	jo	наст	им	ед	м
ЧЮВСТВА	сущ	o	род	ед	ср	
БЕЗВ+ЩНЫ(М)&	прил	тв	тв	ед	ср	
НЕНАСЫТНАГО,	прил	тв	род	ед	ср	
И	союз					
НЕВИДИМАГО&	прич	тв	наст	вин/род	ед	м
ДОБРОТОЮ	сущ	a	тв	ед	ж	
ВИД+ВЪ	прич	jo	прош	им	ед	м
АКИ	союз					
РАЗD&МНА	прил	o	вин/род	ед	м	
РАЗDМОМЪ,	сущ	o	тв	ед	м	
ТОЧIЮ	нар					
РАДDИ&СR	гл/в	повел	2	ед	3	
ДОСТОИНАR	прил	тв	вин	мн	ср	
ПО	пред					
ТЕБ+,	мест	личн	2	дат	ед	
НАШЕ&	мест	м	вин	ед	ср	
ЕСТЬ	гл	изъяв	н/б	3	ед	5
UДОБРИТИ	инф					
СЛОВО	сущ	es	вин	ед	ср	
(КЪ)	пред					
СКАЗАНIЮ&	сущ	jo	дат	ед	ср	
ПРIЕМЪ	прич	jo	прош	им	ед	м
W(Т)ДАНIR	сущ	jo	вин	мн	ср	
ТРDДОВЪ.	сущ	o/u	род	мн	м	
И&	союз					
ПР(с)НО	нар					
Т+МЪ	мест	тв	дат	мн	м	
СЫИ	прич	м	наст	им	ед	м
ИХЖЕ	мест	м	род	мн	м	
НОГА	сущ	a	им	ед	ж	
СТА&	гл	изъяв	аор гл	3	ед	
НА	пред					
ПРАВОТ+.	сущ	a	мест	ед	ж	
НО	союз					
WБАЧЕ	нар					
UНЕ	нар					
W(Т)	пред					
ТРDZ -371 ДОВЪНЫ(Х)	прил	тв	род	мн	м	
Т+ХЪ	мест	тв	род	мн	м	
ПОТОВЪ	сущ	о/u	род	мн	м	
НАШЕ	мест	м	вин	ед	ср	
ЕСТЬ.&	гл	изъяв	н/б	3	ед	5
UДОБРИТИ	инф					
СЛОВО	сущ	es	вин	ед	ср	
СКАЗDЮЩЕ	прич	jo	наст	вин	ед	ср
БЛГО&ГОВ+ИНЪСТВО#.	сущ	о	вин	ед	ср	
И	союз					
НБ(с)НОЕ	прил	тв	вин	ед	ср	
ЖИТIЕ,&	сущ	jo	вин	ед	ср	
W	пред					
СЕМЪ	мест	м	мест	ед	м	
БЛЖЕННЕ(М)#.	прил	тв	мест	ед	м	
ЯКО	союз					
ДА	част					
Н(А)ВЫ&КНЕМЪ	гл	изъяв	н/б	1	мн	2
ИЗВ+СТНО	нар					
W(Т)КDДD	союз					
СIИ&	мест	м	им	ед	м	
ТАКОВЫИ	мест	тв	им	ед	м	
СВ+ТИЛНIКЪ	сущ	о	им	ед	м	
ВОСIR.&	гл	изъяв	аор гл	3	ед	
ЕДА	част					
W(Т)	пред					
*ЕРОСАЛИМА	сущ	о	род	ед	м	
ИЛИ	союз					
W(Т)	пред					
*СИОНА,&	сущ	o	род	ед	м	
НИ.	част					
РЕЧЕНО	прич	o	прош	им	ед	ср
В	пред					
НАШИ(Х)	мест	м	мест	мн	м	
РОД+(Х)	сущ	o	мест	мн	м	
ПРОСIR&	гл	изъяв	аор гл	3	ед	
ТАКОВЫИ	мест	тв	им	ед	м	
СВ+ТИЛЬНIКЪ.	сущ	о	им	ед	м	
СЕГО&	мест	м	род	ед	ср	
РАДИ	посл					
СПО(Д)ВИГОХСR	гл/в	изъяв	аор нов	1	ед	
НА	пред					
РВЕНIЕ	сущ	jo	вин	ед	ср	
САМИ&	мест	тв	им	мн	м	
СЕБ+	мест	личн	возвр	вин		
ПРИВЕДЕТЕ.	гл	изъяв	н/б	2	мн	1
НО	союз					
ПЕРВОЕ	нар					
U&БО	част					
ПОМЫШЛRЮЩЮ	прич	jo	наст	дат	ед	м
НЕПРАВЕ(Д)НО,&	нар					
МОГDЩАR	прич	м	наст	вин	мн	ср
ПОЛЗЫ	сущ	a	род	ед	ж	
СЛЫШАЩЫ(М)&	прич	м	наст	дат	мн	м
СОТВОРИТИ	инф					
СIЕ	мест	м	вин	ед	ср	
МО(л)ЧАНIЕМЪ	сущ	jo	тв	ед	ср	
ПО&ТАИТИ,	инф					
НО	союз					
ДА	част					
И	союз					
МЫ	мест	личн	1	им	мн	
НЕ	част					
ВПАДЕМЪ&	гл	изъяв	н/б	1	мн	1
ВО	пред					
