М(с)ЦА	сущ	jo	род	ед	м	
МАIА	сущ	jo	род	ед	м	
В	пред					
FI#	19					
ДЕНЬ&	сущ	en	вин	ед	м	
ПРЕСТАВЛЕНIЕ	сущ	jo	им	ед	ср	
БЛГОВ+Р&НАГW#	прил	тв	род	ед	м	
КНЗR#	сущ	jo	род	ед	м	
И	союз					
ПРП(Д)БНАГО&	прил	тв	род	ед	м	
ОЦА#	сущ	jo	род	ед	м	
НШЕГW#	мест	м	род	ед	м	
*ИГНАТIR.&	сущ	jo	род	ед	м	
ЧЮДОТВОРЦА	сущ	jo	род	ед	м	
*ВОЛОГО&ЦКАГW	прил	тв	род	ед	м	
ИЖЕ	мест	м	им	ед	м	
НА	пред					
*ПРИЛD&Ц+.	сущ	o	мест	ед	м	*
ТВОРЕНIЕ	сущ	jo	им	ед	ср	
ВКРАТ&	нар					
ИНОКА	сущ	o	род	ед	м	
*ЛОГИНА,	сущ 	о	род	ед	м	
ТОR&	мест	тв	род	ед	ж	
ЖЕ	част					
WБИТЕЛИ.	сущ	i	род	ед	ж	
БЛГО&СЛОВИ#	гл	повел		2	ед	4
ОЧЕ#.&	сущ	jo/о	зв	ед	м	*
СЕИ	мест	м	им	ед	м	
СТЫИ#	прил	тв	им	ед	м	
БЛГОВ+Р&НЫИ#	прил	тв	им	ед	м	
КНЗЬ#	сущ	jo	им	ед	м	
*IWАННЪ,&	сущ	o	им	ед	м	
РОЖДЕНIЕ	сущ	jo	им	ед	ср	
И	союз					
ВОСПИТА&НIЕ	сущ	jo	им	ед 	ср 	
БЛГОВ+РНАГW#&	прил	тв	род	ед	м	
КНЗR#	сущ	jo	род	ед	м	
*АНДР+R	сущ	jo	род	ед	м	
*ВА&СИЛIЕВИЧА	сущ	jo	род	ед	м	
*UГЛЕЦКАГО	прил	тв	род	ед 	м	
Z -182						
И	союз					
БЛГОВ+РНЫR#	прил	тв	род	ед	ж	
КНRГИ&НИ	сущ	ja/а	род	ед	ж	
МАТЕРИ	сущ	er	род	ед	ж	
ЕГW	мест	м	род	ед	м	
*ЕЛЕ&НЫ,	сущ	а	род	ед	ж	
И	союз					
КРЕСТИША	гл	изъяв	аор гл	3	мн	
ЕГО&	мест	м	вин/род	ед	м	
СТЫМЪ#	прил	тв	тв	ед	ср	
КРЕЩЕНIЕМЪ&	сущ	jo	тв	ед	ср	
В	пред					
*ЛDКАХЪ	сущ	o/a	мест	мн	м	
*ВЕЛИКИХЪ.&	прил	тв	мест	мн	м	
И	союз					
ПРIИДЕ	гл	изъяв	аор пр	3	ед	
В	пред					
РАЗDМЪ,	сущ	o	вин	ед	м	
И&	союз					
ПОВЕЛ+	гл	изъяв	аор гл	3	ед	
ЕГW	мест	м	вин/род	ед	м	
ГРАМО&Т+	сущ	a	дат	ед	ж	
UЧИТИ,	инф					
I	союз					
ИЗВЫ&ЧЕ	гл	изъяв	аор пр	3	ед	
ВЪБОРЗ+,	нар					
БRШЕ&	гл	изъяв	имп	3	ед	
БО	союз					
СТЫИ#	прил	тв 	им	ед	м	
WБЫЧАЕМ&	сущ	jo	тв	ед	м	
КРОТОКЪ	прил	o	им	ед	м	-о
И	союз					
СМИРЕНЪ&	прич	o	прош	им	ед	м
СР(Д)ЦЕМЪ,	сущ	jo	тв	ед	ср	
И	союз					
МОЛЧАЛИВ&	прил	o	им	ед	м	
В	пред					
РАЗDМ+	сущ	о	мест 	ед	м	
А	союз					
НЕ	част					
ГН+В&ЛИВЪ	прил	о	им 	ед	м	
W(Т)НЮДЪ	нар					
I	союз					
ИГРЫ&	сущ	a	род	ед	ж	
Д+ТЦКIR	прил	тв	род	ед	ж	
НИ	част					
ЦРЬСКА(г)#&	прил	тв	род	ед	ср	
ПОТ+ШЕНIR	сущ	jo	род	ед	ср	
НЕ	част					
ВНИZ 183 МАШЕ,	гл	изъяв	имп	3	ед	
ТОКМО	нар					
ВО	пред					
UМЪ&	сущ	o	вин	ед	м	
СЕБ+	мест	личн	возвр	дат	ед	
ПОЛОЖИ	гл	изъяв	аор гл	3	ед	4
ПАМRТЬ&	сущ	i	вин	ед	ж	
СМЕРТНDЮ	прил	тв	вин	ед	ж	
И	союз					
СТРАХЪ	сущ	o	вин	ед	м	
БО&ЖIИ	прил	jo	вин	ед	м	
КАКW	союз					
UГОДИТИ&	инф					
БГD#,	сущ	o	дат	ед	м	
И	союз					
СDЕТD	сущ	a	вин	ед	ж	
МIРА	сущ	o	род	ед	м	
СЕ&ГW	мест	м	род	ед	м	
НИ	част					
ВО	пред					
ЧТОЖЕ	мест	м	вин	ед	ср	
ПО&ЛОЖИ.	гл	изъяв	аор гл	3	ед	4
ПОМИНАR	прич	jo	наст	им	ед	м
СЛО&ВО	сущ	es	вин	ед	ср	
АПОСТОЛЬСКОЕ,&	прил	тв	вин	ед	ср	
ЯКW	союз					
НИЧТОЖЕ	мест	м	вин	ед	ср	
ВНЕСО&ХОМЪ	гл	изъяв	аор нов	1	мн	
В	пред					
МIРЪ	сущ	o	вин	ед	м	
СЕИ,	мест	м	вин	ед	м	
НИ&ЖЕ	част					
ИЗНЕСТИ	инф					
ЧТО&	мест	м	вин	ед	ср	
МWЖЕМЪ,	гл	изъяв	н/б	1	мн	1
НИ	част					
БОГАТ&СТВА,	сущ	o	род	ед	ср	
НИ	част					
СЛАВЫ,	сущ	a	род	ед	ж	
НО&	союз					
ПРIИДЕМЪ	гл	изъяв	н/б	1	мн	1
НИ	част					
ВО	пред					
ЧТОЖЕ.&	мест	м	вин	ед	ср	
И	союз					
ПОЖИВЕ	гл	изъяв	аор пр	3	ед	
U	пред					
ОЦА#	сущ	jo	род	ед	м	
СВОЕГW&	мест	м	род	ед	м	
ТРИНАДЕСRТЬ	числ	i	вин	ед	ср	
Л+ТЪ,	сущ	o	род	мн	ср	
Z -183						
ПО	пред					
СЕМЪ	мест	м	мест	ед	ср	
ВРАГЪ	сущ	o	им	ед	м	
САТАНА&	сущ	a	им	ед	м	
ИСКОНИ	нар					
НЕНАВИДRИ	прич	м	наст	им	ед	м
ДО&БРА	сущ	o	род	ед	ср	
РWДD	сущ	o	дат	ед	м	
ЧЕЛОВ+ЧЕСКО&МD,	прил	тв	дат	ед	м	
ДIАВОЛЬ	сущ	jo	им	ед	м	
ВЛОЖИ&	гл	изъяв	аор гл	3	ед	
ПРОМЕЖЬ	пред					
ВЕЛИКИМЪ&	прил	тв	тв	ед	м	
КНRЗЕМЪ	сущ	jo	тв	ед	м	
*IWАННОМЪ&	сущ	о	тв	ед	м	
*ВАСИЛIЕВИЧЕМЪ	сущ	jo	тв	ед	м	
И	союз					
КНR&ЗЕМЪ	сущ	jo	тв	ед	м	
*АНДР+ЕМЪ	сущ	jo	тв	ед	м	
*ВАСИ&ЛIЕВИЧЕМЪ	сущ	jo	тв	ед	м	
ПО	пред					
ПЛОТИ&	сущ	i	дат	ед	ж	
БРАТIИ,	сущ	o/i	род	мн	м	
И	союз					
ПОЛОЖИ	гл	изъяв	аор гл	3	ед	4
МЕ(Ж)&	пред					
ИМИ	мест	м	тв	мн	м	
НЕНАВИСТЬ	сущ	i	вин	ед	ж	
W	пред					
СD&ЕТ+	сущ	a	мест	ед	ж	
МIРА	сущ	o	род	ед	м	
СЕГW.	мест	м	род	ед	м	
И&	союз					
ПОИМАЛЪ	гл	изъяв	прош	м	ед	
КНЗЬ#	сущ	jo	им	ед	м	
ВЕ&ЛИКIИ	прил	тв	им	ед	м	
*ИWАННЪ	сущ	o	им	ед	м	
*ВАСИ&ЛIЕВИЧЬ	сущ	jo	им	ед	м	
БРАТА	сущ	o	вин/род	ед	м	
СВОЕ(г)&	мест	м	вин/род	ед	м	
КНRЗR	сущ	jo	вин/род	ед	м	
*АНДР+R	сущ	jo	вин/род	ед	м	
*ВАСИZ 184 ЛIЕВИЧА	сущ	jo	вин/род	ед	м	
*UГЛЕЦКАГW,&	прил	тв	вин/род	ед	м	
И	союз					
С	пред					
ЕГW	мест	м	род	ед	м	
Д+ТЬМИ	сущ	i	тв	pt	ж	
ПРЕ&ЖДЕРЕЧЕННАГW	прич	тв	прош	вин/род	ед	м
КНRЗR&	сущ	jo	вин/род	ед	м	
