<head n="1">						
М(с)ЦА	сущ	jo	род	ед	м	
FЕВРАЛR.	сущ	jo	род	ед	м	
АI#.	11					
ЖИТIЕ	сущ	jo	им	ед	ср	
ПРПW(ДО)&БНАГО	прил 	тв	род	ед	м	
W(Т)ЦА	сущ	jo	род	ед	м	
НШЕГО#	мест 	м	род	ед	м	
*ДIМИТРIА,	сущ	jo	род	ед	м	
ИГU&МЕНА	сущ	o	род	ед	м	
*ПРИЛUЦКАГО.	прил 	тв	род	ед	м	
*ВОЛОГОЦКАГW&	прил 	тв	род	ед	м	
ЧЮДОТВОРЦА.	сущ	jo	род	ед	м	
ТВОРЕНIЕ	сущ	jo	им	ед	ср	
ТОА	мест	тв	род	ед	ж	
ЖЕ	част					
W&БИТЕЛИ,	сущ	i	род	ед	ж	
ИГUМЕНА	сущ	o	род	ед	м	
*МАКАРIА.	сущ	jo	род	ед	м	
БЛ(с)ВИ	гл 	повел	2	ед	4	
W(ч);&	сущ	jo/o	зв	ед	м	
</head>						
<div1 type="Introductio" n="1">						
СТОЕ#	прил	тв	вин	ед	ср	
ЖИТIЕ	сущ	jo	вин	ед	ср	
ПОЖИВШИ(Х),	прич	м	прош	род	мн	м
СТЫ(Х)#	прил	тв	род	мн	м	
ПРЕПО&ДОБНЫ(Х)	прил	тв	род	мн	м	
МUЖЕИ	сущ	jo/i	род	мн	м	
ВЕЛИКЫ(Х).	прил	тв	род	мн	м	
ИЖЕ	мест	м	им	мн	м	
В	пред					
ПО&СТНЫ(Х)	прил 	тв	мест	мн	м	
ПОДВИЗ+(Х)	сущ	o	мест	мн	м	*
ПРОСIАВШИ(Х),	прич 	м	прош	род	мн	м
И	союз					
В	пред					
НЕ&ПРЕСТАННЫ(Х)	прил	тв	мест	мн	ж	
МЛТВА(Х)#	сущ	a	мест	мн	ж	
КЪ	пред					
БU#.	сущ	o	дат	ед	м	
ВЕЛИКD&	прил	а	вин	ед	ж	
ПОБ+ДU	сущ	a	вин	ед	ж	
НА	пред					
ВРАГЫ	сущ	o	вин	мн	м	
ПОКАЗАВШЕ.	прич 	jo/en	прош	им	мн	м
КРА&СНАА	прил	тв	вин	мн	ср	
ЖЕ	част					
И	союз					
СUЕТНАА	прил	тв	вин	мн	ср	
МИРА	сущ	o	род	ед	м	
СЕГО	мест	м	род	ед	м	
W(Т)ВЕРГЬ&ШИ(Х).	прич	м	прош	род	мн	м
БUДUЩАА	прич	м	наст	род	ед	ж
РАДИ	посл					
ЖИЗНИ.	сущ	i	род	ед	ж	
ЯЖЕ&	мест	м	вин	мн	ср	
БЪ#	сущ	o	им	ед	м	
UГОТОВА	гл	изъяв	аор гл	3	ед	
ЛЮБRЩИМЪ	прич 	м	наст	дат	мн	м
ЕГО.	мест	м	вин/род	ед	м	
АЩЕ&	союз 					
БО	союз					
ЕЛЛИНСТIИ	прил	тв	им	мн	м	*
БАСНОТВОРЦИ.	сущ	jo	им	мн	м	
И	союз					
ИЖЕ&	мест	м	им	мн	м	
С	пред					
НИМИ	мест	м	тв	мн	м	
НЕЧЕСТИВIИ	прил	тв	им	мн	м	
RЗЫЦИ.	сущ	o	им	мн	м	*
НЕ	част					
ЗНА&ЮЩИ	прич 	jo	наст	им	мн	м
БА#	сущ	o	вин/род	ед	м	
ТВОРЦА	сущ	jo	вин/род	ед	м	
ВСRЧЕСКИМЪ.	прил	тв	дат	мн	ср	
ПРА&З(Д)НИКИ	сущ	o	вин	мн	м	
И	союз					
ПОКЛОНЕНIЕ	сущ	jo	вин	ед	ср	
ИДОЛОМЪ	сущ	o	дат	мн	м	
ПРИНО&СRЩЕ.	прич 	jo/en	наст	им	мн	м
ЕЛИКО	мест	тв	вин	ед	ср	
КОЖ(Д)О	мест	тв	им	ед	м	
ИХЪ	мест	м	род	мн	м	
МОЖААХU&	гл	изъяв	имп	3	мн	
ТЩАЩЕСR,	прич/в	en	наст	им	мн	м
W(Т)	пред					
ИМ+НIИ	сущ	jo	род	мн	ср	
СВОИ(Х).	мест	м	род	мн	ср	
Т+(М)&	мест	тв	дат	мн	м	
БЕЗ	пред					
UМА	сущ	o	род	ед	м	
ПРЕ(Д)ЛАГАХU.	гл	изъяв	имп	3	мн	
КОЛМИ	нар					
ЖЕ	част					
НА(М).&	мест	личн	1	дат	мн	
ИЖЕ	мест	м	им	мн	м	
БЖ(с)ТВЕНОЮ	прил	тв	тв	ед	ж	
БЛГОДАТIЮ#	сущ	i	тв	ед	ж	
W(Т)	пред					
ГА#	сущ	i/о	род	ед	м	
БА#&	сущ	o	род	ед	м	
ПОС+ЩЕНЫМЪ.	прич	тв	прош	дат	мн	м
ПОДОБАЕТЬ	гл	изъяв	н/б	3	ед	3
ДОСТО&ИНО	нар					
ПАМRТИ	сущ	i	вин	мн	ж	
СТЫ(Х)#	прил	тв	род	мн	м	
W(Т)ЦЬ#	сущ	jo	род	мн	м	
ДХОВНО#	нар					
ПРАZ -201 ЗНОВАТИ.	инф					
И	союз					
W(Т)	пред					
*ХА#	сущ	o	род	ед	м	
БА#	сущ	o	род	ед	м	
ДАРОВАННАА	прич	тв	прош	вин	мн	ср
Т+(М),&	мест	тв	дат	мн	м	
ЧЮДЕСА	сущ	es	вин	мн	ср	
ПОХВАЛИТИ	инф					
ВЪ	пред					
QАЛМ+(Х)	сущ	о	мест	мн	м	+о
И	союз					
П+&НIИХЪ	сущ	jo	мест	мн	ср	
СЛGЖАЩЕ	прич	jo/en	наст	им	мн	м
ГВИ#.	сущ	i/u	дат	ед	м	
ПАМRТИ	сущ	i	род	ед	ж	
И(Х)&	мест	м	род	мн	м	
РАДИ	посл					
ПОДОБАЕТЪ	гл	изъяв	н/б	3	ед	3
ЯЖЕ	мест	м	вин	мн	ср	
ВИД+ХОМЪ.&	гл	изъяв	аор гл	1	мн	
И	союз					
АЩЕ	союз					
И	союз					
ПРЕЖНRА	прил	м	вин	мн	ср	
И	союз					
СЛЫШАХОМЪ.	гл	изъяв	аор гл	1	мн	
ПИ&САНIЮ	сущ	jo	дат	ед	ср	
ИСТИННАА	прил	тв	вин	мн	ср	
ПОЛОЖИТИ.	инф					
W	пред					
СЕ(М)&	мест	м	мест	ед	ср	
БО	союз					
НЕМАЛА	прил	а	им	ед	ж	
МЬЗ(Д)А,	сущ	a	им	ед	ж	
И	союз					
ПОЛЗА	сущ	a	им	ед	ж	
W(Т)	пред					
ГА#	сущ	i/o	род	ед	м	
НШЕГО#&	мест	м	род	ед	м	
*IV#	сущ	o	род	ед	м	
*ХА#,	сущ	o	род	ед	м	
I	союз					
ЧААНIИ	сущ	jo	род	мн	ср	
БGДUЩИ(Х)	прич	м	наст	род	мн	ср
БЛГЪ#.	сущ	о	род	мн	ср	
ПW&СЛGШАТЕЛЕМ	сущ	jo	дат	мн	м	
ЖЕ	част					
И	союз					
НАКАЗАТЕЛЕМЪ&	сущ	jo	дат	мн	м	
ИЖЕ	мест	м	им	мн	м	
ВЪ	пред					
ПРАВД+	сущ	a	мест	ед	ж	
СВ+ДUЩИМЪ.	прич	м	наст	дат	мн	м
ПА&ЧЕ	нар					
ЖЕ	част					
Т+МЪ.	мест	тв	дат	мн	м	
И	союз					
ДШЕВНЫИ#	прил	тв	вин	ед	м	
РАЗUМЪ&	сущ	o	вин	ед	м	
ИМUЩИМЪ.	прич	м	наст	дат	мн	м
И	союз					
СТЫ(Х)#	прил	тв	род	мн	м	
Т+(Х)	мест	тв	род	мн	м	
ПОЖИТIА&	сущ	jo	вин	мн	ср	
И	союз					
Д+ЛА	сущ	o	вин	мн	ср	
ИСПРАВЛRЮЩИ	прич	jo	наст	им	мн	м
